loan_id,customer_id,age,gender,education,marital_status,employment_type,employment_length_months,annual_income,monthly_income,existing_emi,debt_to_income,credit_score,credit_history_length_months,delinquency_count,past_default_flag,loan_amount,loan_term_months,interest_rate,emi_amount,loan_purpose,loan_product,disbursal_date,repayment_status,first_emi_default_flag,loan_source_type,state,district,city,pincode,urban_rural_flag,branch_code,branch_region,service_area_cluster,distance_to_branch_km,area_default_rate,district_risk_score,state_risk_score,population_density_band,economic_activity_type,channel,has_mortgage,has_dependents,has_cosigner,loan_default
LN100010,C200010,43,Male,Graduate,Single,Business,8,58000,4833,6455,0.071,749,18,2,0,488000,36,17.8,13757,Business,Secured,2023-01-11,Closed,0,New,Maharashtra,Nagpur,Nagpur,693390,Urban,NORTH,WestZone,8,15.5,0.059,0.266,0.785,Medium,MSME,Digital,Yes,Yes,No,1
LN100011,C200011,54,Female,Other,Married,Salaried,67,28000,2333,1696,0.208,661,185,0,0,171000,48,12.28,3599,Business,Unsecured,2023-01-12,Overdue,0,New,Bihar,Patna,Patna,470901,Urban,NORTH,WestZone,28,17.3,0.175,0.654,0.401,Medium,Salaried,Branch,Yes,No,No,1
LN100012,C200012,21,Male,Graduate,Married,Salaried,83,54000,4500,2718,0.323,603,148,1,0,137000,24,18.7,5797,Personal,Secured,2023-01-13,Active,0,New,Telangana,Hyderabad,Hyderabad,297985,SemiUrban,SOUTH,EastZone,5,21.5,0.238,0.516,0.204,Low,Salaried,Branch,Yes,Yes,No,1
LN100013,C200013,21,Male,Graduate,Single,Farmer,99,61000,5083,2698,0.293,704,109,0,1,408000,72,16.45,5744,Vehicle,Unsecured,2023-01-14,Active,0,New,Karnataka,Hubballi,Hubballi,247986,Urban,SOUTH,WestZone,16,15.1,0.213,0.513,0.671,High,Mixed,Branch,Yes,No,No,1
LN100014,C200014,37,Male,Graduate,Married,Business,31,101000,8416,6111,0.533,857,125,0,0,462000,36,6.0,12898,Business,Secured,2023-01-15,Active,0,TopUp,Karnataka,Hubballi,Hubballi,574868,Urban,CENTRAL,NorthZone,28,2.2,0.232,0.217,0.348,High,Salaried,Branch,No,Yes,No,1
LN100015,C200015,42,Male,PostGraduate,Married,Business,14,69000,5750,3313,0.587,707,81,0,0,501000,72,8.41,7007,Agri,Secured,2023-01-16,Closed,0,New,Karnataka,Mysuru,Mysuru,237971,SemiUrban,SOUTH,WestZone,15,7.4,0.298,0.594,0.536,Medium,Salaried,Digital,No,No,No,1
LN100016,C200016,21,Female,Graduate,Married,Farmer,14,42000,3500,3810,0.685,679,48,1,0,144000,18,16.98,8113,Agri,Unsecured,2023-01-17,Active,0,Repeat,Gujarat,Ahmedabad,Ahmedabad,164334,Rural,CENTRAL,WestZone,22,14.0,0.029,0.597,0.355,Medium,Salaried,Digital,No,Yes,No,1
LN100017,C200017,37,Male,Graduate,Married,Business,52,85000,7083,9101,0.6,650,132,1,0,688000,36,9.2,19258,Business,Secured,2023-01-18,Active,1,New,Madhya Pradesh,Gwalior,Gwalior,522083,SemiUrban,EAST,WestZone,10,0.5,0.02,0.348,0.295,Low,MSME,Branch,No,No,No,1
LN100018,C200018,30,Male,PostGraduate,Single,Salaried,4,71000,5916,6720,0.316,684,108,2,0,254000,18,18.41,14328,Business,Secured,2023-01-19,Active,0,New,Rajasthan,Jaipur,Jaipur,783205,SemiUrban,EAST,SouthZone,31,18.5,0.107,0.838,0.534,Low,Salaried,Partner,No,No,No,1
LN100019,C200019,24,Male,Graduate,Married,SelfEmployed,47,14000,1166,2361,0.488,769,164,1,0,119000,24,12.28,5009,Education,Secured,2023-01-20,Closed,0,New,Gujarat,Ahmedabad,Ahmedabad,676962,Urban,SOUTH,CentralZone,2,9.3,0.215,0.569,0.542,High,MSME,Digital,Yes,No,No,1
LN100020,C200020,36,Male,Graduate,Single,Salaried,65,87000,7250,7368,0.399,714,124,1,0,557000,36,12.3,15631,Home,Secured,2023-01-21,Active,1,Repeat,Uttar Pradesh,Lucknow,Lucknow,377763,Urban,EAST,WestZone,18,17.5,0.206,0.576,0.556,Medium,Agri,Partner,No,Yes,No,1
LN100021,C200021,46,Male,Graduate,Married,Salaried,62,38000,3166,12500,0.524,724,127,3,0,315000,12,14.67,26571,Home,Secured,2023-01-22,Active,0,New,Maharashtra,Nagpur,Nagpur,209841,SemiUrban,WEST,NorthZone,40,4.9,0.191,0.284,0.249,Low,Salaried,Digital,No,No,No,1
LN100022,C200022,58,Male,PostGraduate,Single,Business,46,56000,4666,14603,0.184,798,82,0,0,368000,12,18.61,31142,Education,Secured,2023-01-23,Active,0,New,Gujarat,Vadodara,Vadodara,619603,Urban,WEST,CentralZone,2,10.3,0.043,0.453,0.554,High,Salaried,Branch,Yes,Yes,Yes,1
LN100023,C200023,61,Male,Graduate,Married,Salaried,51,49000,4083,13175,0.055,686,66,1,0,332000,12,6.19,27809,Home,Unsecured,2023-01-24,Overdue,1,New,Gujarat,Ahmedabad,Ahmedabad,794483,Rural,WEST,NorthZone,36,18.9,0.146,0.309,0.249,High,Mixed,Digital,No,No,Yes,1
LN100024,C200024,52,Male,HighSchool,Single,Salaried,134,19000,1583,500,0.105,692,179,1,0,50000,60,25.96,1000,Education,Unsecured,2023-01-25,Active,0,Repeat,Madhya Pradesh,Bhopal,Bhopal,263926,Urban,EAST,NorthZone,15,19.6,0.271,0.667,0.647,Medium,Salaried,Branch,No,No,Yes,1
LN100025,C200025,42,Female,PostGraduate,Married,Salaried,56,82000,6833,873,0.306,630,65,0,0,132000,72,16.5,1859,Business,Unsecured,2023-01-26,Active,0,New,Tamil Nadu,Chennai,Chennai,204565,Urban,WEST,SouthZone,39,4.3,0.177,0.432,0.358,Medium,Mixed,Digital,Yes,Yes,No,0
LN100026,C200026,37,Male,HighSchool,Married,Salaried,170,30000,2500,2500,0.447,845,212,0,0,63000,12,23.13,5351,Education,Unsecured,2023-01-27,Active,0,New,Karnataka,Mysuru,Mysuru,430726,Urban,CENTRAL,WestZone,17,10.5,0.285,0.261,0.766,High,Salaried,Partner,Yes,Yes,No,1
LN100027,C200027,40,Female,PostGraduate,Married,Farmer,80,53000,4416,9603,0.437,840,168,4,0,242000,12,17.27,20457,Home,Unsecured,2023-01-28,Overdue,0,New,Madhya Pradesh,Indore,Indore,773564,Rural,NORTH,CentralZone,1,8.7,0.235,0.39,0.36,Medium,MSME,Branch,No,Yes,No,1
LN100028,C200028,40,Male,HighSchool,Married,SelfEmployed,16,56000,4666,1921,0.398,720,46,0,0,242000,60,15.4,4085,Home,Unsecured,2023-01-29,Active,0,New,Uttar Pradesh,Lucknow,Lucknow,422550,Urban,SOUTH,WestZone,8,0.5,0.166,0.56,0.567,Medium,Salaried,Branch,No,No,No,1
LN100029,C200029,50,Male,Graduate,Married,SelfEmployed,18,26000,2166,2857,0.23,649,116,1,1,72000,12,10.83,6054,Home,Secured,2023-01-30,Active,0,New,Maharashtra,Pune,Pune,429841,Urban,CENTRAL,SouthZone,27,7.9,0.213,0.62,0.387,High,Salaried,Branch,Yes,Yes,No,1
LN100030,C200030,56,Male,HighSchool,Single,SelfEmployed,7,110000,9166,3929,0.083,725,42,1,0,198000,24,18.1,8374,Home,Secured,2023-01-31,Overdue,0,New,Uttar Pradesh,Varanasi,Varanasi,601504,Urban,WEST,CentralZone,36,14.0,0.284,0.95,0.437,Low,Salaried,Digital,Yes,No,No,1
LN100031,C200031,25,Female,Graduate,Single,SelfEmployed,20,53000,4416,3333,0.505,711,120,1,1,336000,48,18.58,7108,Agri,Secured,2023-02-01,Active,0,New,Maharashtra,Mumbai,Mumbai,335119,Rural,NORTH,NorthZone,17,10.5,0.169,0.828,0.352,Low,Salaried,Field,No,Yes,No,1
LN100032,C200032,35,Male,Graduate,Divorced,Business,48,56000,4666,1286,0.243,744,100,1,0,162000,60,11.66,2726,Vehicle,Secured,2023-02-02,Active,0,New,Maharashtra,Nashik,Nashik,408857,Urban,SOUTH,EastZone,35,11.7,0.185,0.338,0.48,High,Mixed,Branch,Yes,No,No,1
LN100033,C200033,49,Male,HighSchool,Married,SelfEmployed,62,72000,6000,4770,0.263,698,120,0,1,601000,60,9.53,10096,Vehicle,Unsecured,2023-02-03,Closed,0,New,Bihar,Gaya,Gaya,495093,Urban,CENTRAL,EastZone,1,10.3,0.081,0.285,0.499,Medium,Salaried,Branch,No,Yes,No,1
LN100034,C200034,37,Male,Graduate,Married,Farmer,11,54000,4500,3175,0.304,792,75,2,0,120000,18,14.69,6748,Home,Unsecured,2023-02-04,Active,0,New,Bihar,Patna,Patna,798738,Urban,SOUTH,CentralZone,1,11.6,0.269,0.696,0.697,Medium,Mixed,Digital,Yes,Yes,No,1
LN100035,C200035,33,Male,Other,Single,Unemployed,78,40000,3333,1286,0.323,674,179,0,0,162000,60,11.93,2727,Business,Secured,2023-02-05,Active,1,New,Telangana,Hyderabad,Hyderabad,210993,SemiUrban,EAST,EastZone,6,17.3,0.101,0.561,0.527,Medium,Salaried,Digital,No,No,No,1
LN100036,C200036,51,Female,Graduate,Single,Unemployed,107,35000,2916,1349,0.275,768,132,0,0,170000,60,14.19,2867,Business,Unsecured,2023-02-06,Active,0,New,Gujarat,Vadodara,Vadodara,637245,Urban,WEST,CentralZone,17,1.2,0.239,0.677,0.48,Medium,MSME,Digital,No,No,Yes,1
LN100037,C200037,32,Male,PostGraduate,Divorced,SelfEmployed,42,176000,14666,3525,0.204,793,92,2,0,533000,72,15.63,7499,Home,Unsecured,2023-02-07,Active,0,New,Maharashtra,Mumbai,Mumbai,522738,Urban,CENTRAL,NorthZone,38,13.2,0.115,0.205,0.515,Medium,MSME,Branch,No,No,No,0
LN100038,C200038,45,Male,Other,Married,Farmer,57,65000,5416,12976,0.351,773,169,0,0,327000,12,12.53,27535,Agri,Unsecured,2023-02-08,Closed,0,Repeat,Uttar Pradesh,Varanasi,Varanasi,608025,Urban,CENTRAL,SouthZone,21,0.5,0.227,0.95,0.549,Medium,Mixed,Field,No,No,No,1
LN100039,C200039,35,Male,Other,Married,Salaried,33,43000,3583,675,0.408,805,50,3,0,102000,72,13.29,1432,Personal,Secured,2023-02-09,Active,0,New,Rajasthan,Jodhpur,Jodhpur,307234,SemiUrban,NORTH,NorthZone,32,9.4,0.26,0.482,0.528,Medium,Mixed,Branch,Yes,No,Yes,1
LN100040,C200040,62,Male,PostGraduate,Divorced,Farmer,18,79000,6583,2361,0.169,710,89,2,0,119000,24,13.56,5014,Home,Secured,2023-02-10,Active,0,New,Maharashtra,Mumbai,Mumbai,273112,SemiUrban,NORTH,NorthZone,29,1.7,0.162,0.3,0.538,High,Salaried,Branch,No,No,No,1
LN100041,C200041,52,Male,Graduate,Married,Farmer,125,109000,9083,5524,0.068,612,232,2,0,696000,60,20.62,11799,Education,Secured,2023-02-11,Active,0,Repeat,Madhya Pradesh,Bhopal,Bhopal,671610,SemiUrban,NORTH,EastZone,2,17.3,0.29,0.115,0.682,High,MSME,Branch,Yes,Yes,No,1
LN100042,C200042,34,Male,Other,Married,Farmer,76,306000,25500,17833,0.484,806,112,1,0,2247000,60,16.0,37949,Education,Secured,2023-02-12,Active,0,Repeat,Maharashtra,Nashik,Nashik,194998,Rural,SOUTH,NorthZone,15,12.2,0.035,0.325,0.327,Low,MSME,Digital,Yes,No,No,1
LN100043,C200043,41,Male,PostGraduate,Married,Business,38,65000,5416,3562,0.366,693,136,0,0,359000,48,12.33,7556,Vehicle,Secured,2023-02-13,Overdue,1,Repeat,Kerala,Kochi,Kochi,650442,Rural,WEST,NorthZone,26,10.5,0.223,0.557,0.666,Low,Salaried,Branch,No,No,No,1
LN100044,C200044,44,Male,PostGraduate,Married,Salaried,104,50000,4166,1025,0.414,757,173,0,0,155000,72,14.21,2178,Personal,Secured,2023-02-14,Active,1,New,Karnataka,Mysuru,Mysuru,264325,Urban,SOUTH,NorthZone,40,20.5,0.152,0.555,0.421,Medium,MSME,Branch,No,Yes,No,1
LN100045,C200045,33,Male,HighSchool,Single,Salaried,100,18000,1500,1019,0.111,788,172,3,0,77000,36,9.56,2156,Home,Secured,2023-02-15,Active,0,New,Uttar Pradesh,Kanpur,Kanpur,404229,SemiUrban,WEST,NorthZone,20,3.5,0.1,0.512,0.503,High,MSME,Field,Yes,Yes,No,0
LN100046,C200046,35,Female,Other,Married,Salaried,39,63000,5250,3681,0.194,803,67,2,0,371000,48,12.67,7811,Vehicle,Secured,2023-02-16,Active,0,New,Gujarat,Ahmedabad,Ahmedabad,728109,SemiUrban,CENTRAL,EastZone,35,9.2,0.179,0.539,0.437,Medium,Agri,Branch,Yes,No,No,1
LN100047,C200047,47,Male,PostGraduate,Single,Business,39,48000,4000,823,0.205,692,79,0,0,83000,48,11.92,1746,Vehicle,Unsecured,2023-02-17,Active,0,New,Madhya Pradesh,Bhopal,Bhopal,478900,Rural,SOUTH,CentralZone,8,7.9,0.211,0.409,0.487,Low,MSME,Partner,No,Yes,No,1
LN100048,C200048,38,Male,PostGraduate,Married,Salaried,62,70000,5833,1198,0.042,620,162,1,0,151000,60,13.0,2544,Education,Secured,2023-02-18,Active,0,New,Madhya Pradesh,Bhopal,Bhopal,725102,Urban,SOUTH,EastZone,12,16.8,0.226,0.508,0.522,Low,Salaried,Partner,No,Yes,No,1
LN100049,C200049,23,Male,HighSchool,Single,Salaried,9,69000,5750,14974,0.315,600,112,2,0,566000,18,18.13,31920,Personal,Secured,2023-02-19,Active,0,Repeat,Karnataka,Bengaluru,Bengaluru,334925,SemiUrban,SOUTH,WestZone,12,4.4,0.335,0.133,0.482,High,Agri,Digital,No,Yes,Yes,1
LN100050,C200050,44,Female,HighSchool,Single,SelfEmployed,80,129000,10750,21323,0.479,736,172,0,0,806000,18,6.0,45002,Home,Unsecured,2023-02-20,Active,0,New,Bihar,Patna,Patna,686945,Urban,EAST,WestZone,36,16.5,0.121,0.464,0.555,High,Mixed,Field,No,Yes,No,1
LN100051,C200051,49,Male,Other,Divorced,SelfEmployed,28,74000,6166,4683,0.454,719,59,3,0,472000,48,12.07,9932,Home,Secured,2023-02-21,Active,1,TopUp,Tamil Nadu,Madurai,Madurai,488489,Rural,WEST,CentralZone,37,0.5,0.306,0.709,0.332,Low,Salaried,Digital,No,No,No,1
LN100052,C200052,34,Male,Graduate,Married,Farmer,65,70000,5833,1538,0.19,632,156,0,0,155000,48,20.28,3284,Business,Unsecured,2023-02-22,Active,0,New,Bihar,Gaya,Gaya,410630,Urban,WEST,SouthZone,2,5.2,0.264,0.649,0.311,Medium,MSME,Branch,No,Yes,No,1
LN100053,C200053,29,Male,Graduate,Single,SelfEmployed,16,73000,6083,3029,0.514,745,89,0,0,229000,36,11.1,6420,Home,Secured,2023-02-23,Active,0,New,Kerala,Kochi,Kochi,656463,Urban,SOUTH,EastZone,27,11.2,0.199,0.454,0.435,High,Salaried,Digital,Yes,Yes,No,0
LN100054,C200054,53,Male,PostGraduate,Divorced,Business,10,56000,4666,3135,0.226,668,111,2,0,237000,36,16.28,6673,Home,Unsecured,2023-02-24,Closed,0,TopUp,Uttar Pradesh,Varanasi,Varanasi,701428,Urban,EAST,SouthZone,18,6.8,0.239,0.643,0.545,Medium,Agri,Field,Yes,No,Yes,1
LN100055,C200055,40,Female,HighSchool,Married,SelfEmployed,114,143000,11916,2778,0.268,799,188,3,0,420000,72,11.56,5890,Vehicle,Unsecured,2023-02-25,Active,0,New,Kerala,Kochi,Kochi,483685,Urban,SOUTH,CentralZone,34,5.8,0.235,0.457,0.325,High,MSME,Field,No,No,No,1
LN100056,C200056,37,Male,Graduate,Single,Business,77,83000,6916,5903,0.153,788,182,3,0,595000,48,14.41,12545,Home,Secured,2023-02-26,Active,0,Repeat,Maharashtra,Nashik,Nashik,157781,SemiUrban,WEST,NorthZone,37,15.2,0.029,0.402,0.713,Medium,Salaried,Partner,No,No,No,1
LN100057,C200057,37,Male,Graduate,Married,Salaried,50,101000,8416,15344,0.228,723,124,2,0,580000,18,18.18,32710,Vehicle,Unsecured,2023-02-27,Active,0,New,Karnataka,Hubballi,Hubballi,776982,Urban,CENTRAL,SouthZone,10,5.9,0.219,0.886,0.452,Low,Agri,Partner,No,Yes,No,1
LN100058,C200058,54,Male,Graduate,Married,Salaried,66,58000,4833,2209,0.215,653,111,3,0,167000,36,15.62,4699,Vehicle,Secured,2023-02-28,Active,0,New,Maharashtra,Nashik,Nashik,399371,Urban,EAST,NorthZone,22,13.4,0.186,0.396,0.279,Low,Agri,Branch,Yes,Yes,No,1
LN100059,C200059,41,Female,Graduate,Married,Farmer,26,37000,3083,6746,0.279,730,97,0,0,255000,18,10.9,14295,Home,Unsecured,2023-03-01,Active,0,New,Gujarat,Surat,Surat,441980,Rural,EAST,EastZone,13,14.1,0.146,0.517,0.569,Low,MSME,Field,Yes,Yes,No,1
LN100060,C200060,43,Female,HighSchool,Divorced,Business,70,39000,3250,2044,0.468,900,104,1,0,206000,48,6.0,4313,Education,Unsecured,2023-03-02,Active,0,New,Rajasthan,Jaipur,Jaipur,361681,Urban,SOUTH,SouthZone,16,7.8,0.215,0.465,0.749,Medium,Salaried,Digital,Yes,No,No,1
LN100061,C200061,36,Male,HighSchool,Single,SelfEmployed,48,151000,12583,4425,0.177,618,64,0,0,446000,48,6.0,9338,Home,Secured,2023-03-03,Closed,0,New,Karnataka,Mysuru,Mysuru,744710,SemiUrban,CENTRAL,NorthZone,2,14.5,0.038,0.29,0.69,High,Salaried,Partner,No,Yes,No,1
LN100062,C200062,38,Male,Graduate,Single,Salaried,69,186000,15500,13651,0.152,779,138,3,1,1376000,48,13.11,28980,Agri,Secured,2023-03-04,Active,1,Repeat,Telangana,Warangal,Warangal,600633,Urban,WEST,NorthZone,24,4.9,0.251,0.57,0.705,Medium,Mixed,Branch,Yes,Yes,No,1
LN100063,C200063,35,Male,Other,Single,Salaried,41,44000,3666,1040,0.513,735,122,3,0,131000,60,19.66,2219,Vehicle,Secured,2023-03-05,Active,0,New,Gujarat,Ahmedabad,Ahmedabad,419269,Urban,NORTH,SouthZone,12,11.8,0.234,0.633,0.376,High,Salaried,Field,Yes,No,No,1
LN100064,C200064,43,Female,Graduate,Single,SelfEmployed,35,36000,3000,6032,0.236,696,144,0,0,228000,18,16.44,12840,Business,Secured,2023-03-06,Active,0,New,Gujarat,Surat,Surat,157435,Rural,WEST,CentralZone,39,8.3,0.081,0.621,0.754,Medium,Salaried,Branch,Yes,No,No,1
LN100065,C200065,26,Female,Graduate,Married,Salaried,42,101000,8416,5741,0.223,630,153,1,0,434000,36,16.4,12220,Personal,Secured,2023-03-07,Active,0,New,Madhya Pradesh,Indore,Indore,199944,SemiUrban,WEST,WestZone,21,8.9,0.306,0.703,0.701,High,MSME,Branch,Yes,Yes,No,1
LN100066,C200066,41,Female,HighSchool,Married,Salaried,27,51000,4250,2730,0.282,849,86,1,0,344000,60,11.54,5788,Vehicle,Unsecured,2023-03-08,Overdue,0,New,Maharashtra,Nashik,Nashik,189402,Urban,CENTRAL,SouthZone,1,4.8,0.205,0.603,0.468,Medium,Salaried,Branch,No,Yes,No,1
LN100067,C200067,34,Female,PostGraduate,Married,Salaried,59,28000,2333,2480,0.363,809,80,3,0,125000,24,10.4,5253,Business,Secured,2023-03-09,Closed,0,New,Telangana,Warangal,Warangal,563948,Rural,EAST,EastZone,8,19.6,0.221,0.798,0.468,High,Salaried,Partner,Yes,Yes,No,1
LN100068,C200068,32,Male,Other,Single,SelfEmployed,48,33000,2750,921,0.224,779,91,0,0,116000,60,15.17,1958,Personal,Unsecured,2023-03-10,Overdue,0,New,Maharashtra,Pune,Pune,778486,Rural,WEST,SouthZone,17,16.4,0.16,0.37,0.314,High,Salaried,Digital,No,Yes,No,1
LN100069,C200069,43,Male,Graduate,Married,SelfEmployed,38,64000,5333,6971,0.246,726,117,0,0,527000,36,15.78,14831,Home,Secured,2023-03-11,WrittenOff,0,TopUp,Bihar,Bhagalpur,Bhagalpur,775126,Rural,EAST,SouthZone,33,17.4,0.173,0.432,0.588,High,MSME,Digital,Yes,No,No,1
LN100070,C200070,38,Male,Graduate,Married,Unemployed,23,231000,19250,15605,0.14,548,30,0,0,1573000,48,21.21,33350,Agri,Secured,2023-03-12,Overdue,0,New,Tamil Nadu,Coimbatore,Coimbatore,219958,Urban,CENTRAL,CentralZone,5,0.5,0.109,0.34,0.744,Medium,Agri,Branch,No,No,Yes,1
LN100071,C200071,27,Male,Graduate,Married,SelfEmployed,53,168000,14000,32407,0.352,731,68,2,0,1225000,18,11.05,68682,Home,Secured,2023-03-13,Closed,0,New,Karnataka,Bengaluru,Bengaluru,643585,Urban,CENTRAL,WestZone,16,4.4,0.303,0.314,0.325,Low,Mixed,Digital,No,No,No,1
LN100072,C200072,28,Female,PostGraduate,Single,Farmer,128,48000,4000,1171,0.072,632,223,0,1,177000,72,12.77,2484,Home,Secured,2023-03-14,Active,1,New,Maharashtra,Mumbai,Mumbai,483711,SemiUrban,SOUTH,WestZone,22,11.7,0.093,0.53,0.145,Medium,Salaried,Partner,Yes,No,No,1
LN100073,C200073,40,Male,Graduate,Single,SelfEmployed,97,31000,2583,968,0.37,804,155,2,1,122000,60,15.89,2060,Personal,Unsecured,2023-03-15,Overdue,0,New,Telangana,Warangal,Warangal,697667,SemiUrban,NORTH,NorthZone,19,20.0,0.336,0.666,0.594,High,Salaried,Branch,Yes,Yes,No,1
LN100074,C200074,29,Male,Graduate,Single,SelfEmployed,95,52000,4333,1865,0.473,783,169,0,1,141000,36,7.47,3941,Home,Secured,2023-03-16,Active,1,New,Tamil Nadu,Coimbatore,Coimbatore,534043,Urban,CENTRAL,CentralZone,19,20.4,0.265,0.397,0.63,Low,Mixed,Partner,Yes,Yes,No,1
LN100075,C200075,21,Female,PostGraduate,Single,Salaried,28,60000,5000,2206,0.212,781,43,0,1,278000,60,17.89,4702,Business,Secured,2023-03-17,Closed,0,New,Tamil Nadu,Chennai,Chennai,137014,SemiUrban,CENTRAL,NorthZone,3,10.8,0.219,0.574,0.492,High,Salaried,Branch,Yes,No,No,1
LN100076,C200076,47,Male,Other,Married,Salaried,75,70000,5833,4714,0.028,876,105,1,0,594000,60,14.84,10022,Personal,Secured,2023-03-18,Active,0,New,Tamil Nadu,Madurai,Madurai,377535,Urban,EAST,SouthZone,29,8.0,0.262,0.604,0.37,Medium,Agri,Partner,No,No,No,1
LN100077,C200077,24,Female,HighSchool,Single,SelfEmployed,52,47000,3916,2095,0.336,577,87,0,0,264000,60,11.75,4443,Agri,Secured,2023-03-19,Active,0,TopUp,Maharashtra,Nagpur,Nagpur,428403,Urban,CENTRAL,NorthZone,18,0.5,0.219,0.35,0.375,Medium,Salaried,Digital,Yes,No,No,1
LN100078,C200078,34,Male,Other,Single,Salaried,81,48000,4000,2083,0.166,538,190,2,0,315000,72,11.95,4419,Education,Unsecured,2023-03-20,Closed,0,New,Gujarat,Vadodara,Vadodara,271669,Urban,WEST,SouthZone,14,12.6,0.317,0.761,0.402,High,MSME,Branch,Yes,No,No,1
LN100079,C200079,28,Male,Graduate,Married,Business,50,92000,7666,8108,0.153,787,71,1,0,613000,36,12.62,17207,Agri,Secured,2023-03-21,Active,0,New,Maharashtra,Pune,Pune,704370,SemiUrban,SOUTH,SouthZone,36,13.2,0.17,0.848,0.368,Low,Salaried,Branch,Yes,No,No,1
LN100080,C200080,28,Male,PostGraduate,Married,SelfEmployed,18,54000,4500,1045,0.48,585,64,1,0,158000,72,18.96,2229,Vehicle,Unsecured,2023-03-22,Active,0,New,Telangana,Hyderabad,Hyderabad,169604,Urban,SOUTH,NorthZone,37,14.8,0.117,0.84,0.345,Low,Salaried,Branch,No,No,No,1
LN100081,C200081,42,Female,Graduate,Married,Farmer,42,57000,4750,1071,0.204,713,139,1,0,108000,48,9.36,2268,Home,Secured,2023-03-23,Active,0,TopUp,Uttar Pradesh,Lucknow,Lucknow,652764,Rural,WEST,NorthZone,15,1.4,0.04,0.771,0.46,Medium,MSME,Branch,No,Yes,Yes,1
